formula,AIC,BIC
log(response.time) ~ (1|participant_id),-527.624757,-507.909145
log(response.time) ~ (1|shown_letter),1065.451008,1085.166620
log(response.time) ~ (1|participant_id:shown_letter),-224.399922,-204.684310
log(response.time) ~ (1|participant_id:TMS_Type),-1032.817966,-1013.102354
log(response.time) ~ (1|shown_letter:TMS_Type),1065.337533,1085.053145
log(response.time) ~ (1|participant_id:shown_letter:TMS_Type),-520.148944,-500.433331
log(response.time) ~ (1|participant_id) + (1|shown_letter),-526.039287,-499.751804
log(response.time) ~ (1|participant_id) + (1|participant_id:shown_letter),-525.624757,-499.337274
log(response.time) ~ (1|participant_id) + (1|participant_id:TMS_Type),-1040.663270,-1014.375787
log(response.time) ~ (1|participant_id) + (1|shown_letter:TMS_Type),-527.042858,-500.755375
log(response.time) ~ (1|participant_id) + (1|participant_id:shown_letter:TMS_Type),-797.926034,-771.638551
log(response.time) ~ (1|shown_letter) + (1|participant_id:shown_letter),-222.399922,-196.112439
log(response.time) ~ (1|shown_letter) + (1|participant_id:TMS_Type),-1031.470579,-1005.183096
log(response.time) ~ (1|shown_letter) + (1|shown_letter:TMS_Type),1067.302844,1093.590327
log(response.time) ~ (1|shown_letter) + (1|participant_id:shown_letter:TMS_Type),-518.148944,-491.861461
log(response.time) ~ (1|participant_id:shown_letter) + (1|participant_id:TMS_Type),-1030.817966,-1004.530483
log(response.time) ~ (1|participant_id:shown_letter) + (1|shown_letter:TMS_Type),-222.793987,-196.506504
log(response.time) ~ (1|participant_id:shown_letter) + (1|participant_id:shown_letter:TMS_Type),-564.706477,-538.418994
log(response.time) ~ (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type),-1030.981702,-1004.694218
log(response.time) ~ (1|participant_id:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1030.958620,-1004.671137
log(response.time) ~ (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-518.148944,-491.861461
log(response.time) ~ (1|participant_id) + (1|shown_letter) + (1|participant_id:shown_letter),-524.039287,-491.179933
log(response.time) ~ (1|participant_id) + (1|shown_letter) + (1|participant_id:TMS_Type),-1039.311255,-1006.451901
log(response.time) ~ (1|participant_id) + (1|shown_letter) + (1|shown_letter:TMS_Type),-525.042858,-492.183504
log(response.time) ~ (1|participant_id) + (1|shown_letter) + (1|participant_id:shown_letter:TMS_Type),-795.926034,-763.066680
log(response.time) ~ (1|participant_id) + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type),-1038.663270,-1005.803916
log(response.time) ~ (1|participant_id) + (1|participant_id:shown_letter) + (1|shown_letter:TMS_Type),-525.042858,-492.183504
log(response.time) ~ (1|participant_id) + (1|participant_id:shown_letter) + (1|participant_id:shown_letter:TMS_Type),-795.926033,-763.066679
log(response.time) ~ (1|participant_id) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type),-1038.820481,-1005.961127
log(response.time) ~ (1|participant_id) + (1|participant_id:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1038.804413,-1005.945059
log(response.time) ~ (1|participant_id) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-795.926025,-763.066671
log(response.time) ~ (1|shown_letter) + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type),-1029.470579,-996.611225
log(response.time) ~ (1|shown_letter) + (1|participant_id:shown_letter) + (1|shown_letter:TMS_Type),-220.793986,-187.934632
log(response.time) ~ (1|shown_letter) + (1|participant_id:shown_letter) + (1|participant_id:shown_letter:TMS_Type),-562.706477,-529.847123
log(response.time) ~ (1|shown_letter) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type),-1029.470578,-996.611225
log(response.time) ~ (1|shown_letter) + (1|participant_id:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1029.539627,-996.680273
log(response.time) ~ (1|shown_letter) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-516.148944,-483.289590
log(response.time) ~ (1|participant_id:shown_letter) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type),-1028.981702,-996.122349
log(response.time) ~ (1|participant_id:shown_letter) + (1|participant_id:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1028.958620,-996.099266
log(response.time) ~ (1|participant_id:shown_letter) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-562.706477,-529.847123
log(response.time) ~ (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1029.073879,-996.214526
