formula,AIC,BIC
sqrt(keypress_rate..keypresses.per.second.) ~ (1|participant_id),78.281066,90.005315
sqrt(keypress_rate..keypresses.per.second.) ~ (1|problem_id),98.703841,110.428090
sqrt(keypress_rate..keypresses.per.second.) ~ (1|participant_id) + (1|problem_id),-127.722443,-112.090112
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type + (1|participant_id),79.565270,95.197602
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type + (1|problem_id),100.682269,116.314601
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type + (1|participant_id) + (1|problem_id),-126.385473,-106.845058
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type + (1|participant_id) + (1|participant_id:TMS_Type),81.565270,101.105685
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type + (1|problem_id) + (1|problem_id:TMS_Type),102.682269,122.222683
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type),-128.526092,-105.077594
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type + (1|participant_id) + (1|problem_id) + (1|problem_id:TMS_Type),-124.385473,-100.936975
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type) + (1|problem_id:TMS_Type),-126.526092,-99.169511
sqrt(keypress_rate..keypresses.per.second.) ~ session + (1|participant_id),78.500366,94.132697
sqrt(keypress_rate..keypresses.per.second.) ~ session + (1|problem_id),97.602642,113.234974
sqrt(keypress_rate..keypresses.per.second.) ~ session + (1|participant_id) + (1|problem_id),-134.198901,-114.658487
sqrt(keypress_rate..keypresses.per.second.) ~ coding_section_no + (1|participant_id),77.038010,92.670342
sqrt(keypress_rate..keypresses.per.second.) ~ coding_section_no + (1|problem_id),98.984093,114.616425
sqrt(keypress_rate..keypresses.per.second.) ~ coding_section_no + (1|participant_id) + (1|problem_id),-131.272663,-111.732248
sqrt(keypress_rate..keypresses.per.second.) ~ problem_order + (1|participant_id),77.383256,93.015588
sqrt(keypress_rate..keypresses.per.second.) ~ problem_order + (1|problem_id),97.408793,113.041125
sqrt(keypress_rate..keypresses.per.second.) ~ problem_order + (1|participant_id) + (1|problem_id),-132.606488,-113.066073
sqrt(keypress_rate..keypresses.per.second.) ~ problem_set + (1|participant_id),77.700881,93.333213
sqrt(keypress_rate..keypresses.per.second.) ~ problem_set + (1|problem_id),85.922212,101.554544
sqrt(keypress_rate..keypresses.per.second.) ~ problem_set + (1|participant_id) + (1|problem_id),-126.017021,-106.476607
sqrt(keypress_rate..keypresses.per.second.) ~ pain + (1|participant_id),79.946100,95.578431
sqrt(keypress_rate..keypresses.per.second.) ~ pain + (1|problem_id),100.435338,116.067669
sqrt(keypress_rate..keypresses.per.second.) ~ pain + (1|participant_id) + (1|problem_id),-126.267662,-106.727248
sqrt(keypress_rate..keypresses.per.second.) ~ physical_symptoms + (1|participant_id),80.168466,95.800798
sqrt(keypress_rate..keypresses.per.second.) ~ physical_symptoms + (1|problem_id),99.381846,115.014178
sqrt(keypress_rate..keypresses.per.second.) ~ physical_symptoms + (1|participant_id) + (1|problem_id),-125.834382,-106.293967
sqrt(keypress_rate..keypresses.per.second.) ~ discomfort + (1|participant_id),79.552373,95.184705
sqrt(keypress_rate..keypresses.per.second.) ~ discomfort + (1|problem_id),100.700857,116.333189
sqrt(keypress_rate..keypresses.per.second.) ~ discomfort + (1|participant_id) + (1|problem_id),-126.039041,-106.498627
sqrt(keypress_rate..keypresses.per.second.) ~ sensations + (1|participant_id),77.330739,92.963070
sqrt(keypress_rate..keypresses.per.second.) ~ sensations + (1|problem_id),100.587367,116.219699
sqrt(keypress_rate..keypresses.per.second.) ~ sensations + (1|participant_id) + (1|problem_id),-129.358051,-109.817636
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type + session + (1|participant_id),79.718913,99.259327
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type + session + (1|problem_id),99.566545,119.106960
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type + session + (1|participant_id) + (1|problem_id),-132.967769,-109.519271
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type + session + (1|participant_id) + (1|participant_id:TMS_Type),81.718913,105.167410
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type + session + (1|problem_id) + (1|problem_id:TMS_Type),101.566156,125.014654
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type + session + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type),-132.442711,-105.086131
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type + session + (1|participant_id) + (1|problem_id) + (1|problem_id:TMS_Type),-130.967769,-103.611188
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type + session + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type) + (1|problem_id:TMS_Type),-130.442711,-99.178048
